"企业简称","项目状态_1","投资规模","股比","退出金额_1","投资收益","股价/估值","主业","参股/控股","国民行业分类","战新分类","计划内外","境内外","主要经营业务","同行业竞争对手","地点","可研","议案及文号","决策层级","党组织","一票否决权_1","股权结构（工商）","股东大会","董事会","专项督查","工商变更","月度策略"
"华瑞企业","筹备中","5000000","20%","2000000","1000000","8.5","软件开发","控股","信息技术","新一代信息技术","计划内","境内","软件研发与销售","XX 公司、XX 公司","北京","是","[议案 1]001","高层","有","有","[结构 1]","已召开","已召开","已督查","已变更","[策略 1]"
"丰泽公司","进行中","6000000","25%","2500000","1500000","9.2","智能制造","参股","制造业","高端装备制造","计划外","境外","智能设备生产","XX 企业、XX 企业","上海","否","[议案 2]002","中层","否","否","[结构 2]","未召开","未召开","未督查","未变更","[策略 2]"
"永盛公司","已完成","4500000","18%","1800000","900000","7.8","医疗健康","控股","卫生和社会工作","生物医药","计划内","境内","医疗器械研发","XX 机构、XX 机构","深圳","是","[议案 3]003","高层","有","有","[结构 3]","已召开","已召开","已督查","已变更","[策略 3]"
"明辉公司","发展中","7000000","30%","3000000","2000000","10.3","新能源","参股","电力、热力、燃气及水生产和供应业","新能源汽车","计划外","境外","新能源开发与利用","XX 集团、XX 集团","广州","否","[议案 4]004","中层","否","否","[结构 4]","未召开","未召开","未督查","未变更","[策略 4]"
"辉腾公司","扩张中","5500000","22%","2200000","1100000","8.9","文化传媒","控股","文化、体育和娱乐业","数字创意","计划内","境内","文化活动策划与推广","XX 公司、XX 公司","杭州","是","[议案 5]005","高层","有","有","[结构 5]","已召开","已召开","已督查","已变更","[策略 5]"
"宏远公司","稳定期","8000000","35%","3500000","2500000","11.5","金融服务","参股","金融业","金融科技","计划外","境外","金融产品创新与服务","XX 企业、XX 企业","成都","否","[议案 6]006","中层","否","否","[结构 6]","未召开","未召开","未督查","未变更","[策略 6]"
"金瑞公司","上升期","4000000","16%","1600000","800000","7.2","教育培训","控股","教育","在线教育","计划内","境内","教育培训课程研发","XX 机构、XX 机构","南京","是","[议案 7]007","高层","有","有","[结构 7]","已召开","已召开","已督查","已变更","[策略 7]"
"瑞丰公司","转型期","6500000","28%","2800000","1800000","9.8","物流运输","参股","交通运输、仓储和邮政业","智慧物流","计划外","境外","物流配送服务","XX 集团、XX 集团","重庆","否","[议案 8]008","中层","否","否","[结构 8]","未召开","未召开","未督查","未变更","[策略 8]"
"晟宏公司","培育期","5000000","20%","2000000","1000000","8.0","农业科技","控股","农、林、牧、渔业","现代农业","计划内","境内","农产品种植与加工技术研发","XX 公司、XX 公司","武汉","是","[议案 9]009","高层","有","有","[结构 9]","已召开","已召开","已督查","已变更","[策略 9]"
"永华公司","成熟期","7500000","32%","3200000","2300000","10.8","电子信息","参股","制造业","电子信息制造","计划外","境外","电子产品生产与销售","XX 企业、XX 企业","西安","否","[议案 10]010","中层","否","否","[结构 10]","未召开","未召开","未督查","未变更","[策略 10]"
