"基金全称","基金简称","基金类型","基金编号","管理人名称","托管人名称","运作状态","基金阶段","统一社会信用代码","企业类型","执行事务合伙人","注册地址","基金存续期限","投资期","退出期","基金成立时间","首次交割日","投资期到期日","基金到期日期","","认缴金额","实缴金额","累计已分配金额","DPI","TVPI","Net IRR","Gross IRR","累计签约金额","累计交割金额","已投项目个数","已上市项目数量","已退出成本","累计收到分红"
"智能科技成长投资基金","智科成长基金","成长型基金","ZKCZ202301","智科投资管理公司","工商银行","正常运作","成长前期","91350100MA56789123","有限合伙企业","张华","福州市鼓楼区华林路 10 号","5 年","2 年","3 年","20230101","20230301","20250101","20280101","","3500","2800","450","0.18","1.25","12%","18%","4200","3400","8","2","750","280"
"创新医疗产业投资基金","创医产业基金","产业投资基金","CXYL202202","创新产业管理公司","建设银行","良好运作","扩张期","91350200MA45678901","有限合伙企业","李明","厦门市思明区湖滨南路 15 号","7 年","3 年","4 年","20220202","20220402","20250202","20290202","","5500","4500","750","0.19","1.35","15%","20%","6800","5200","10","3","1100","450"
"高端环保创业投资基金","高端环保基金","创业投资基金","GDHB202103","高端创业资本公司","招商银行","稳定运作","早期","91350300MA34567892","有限合伙企业","王强","莆田市城厢区荔城大道 18 号","6 年","2 年","4 年","20210303","20210503","20230303","20270303","","2800","2200","380","0.17","1.18","10%","15%","3800","3000","6","1","600","220"
"智慧教育并购基金","智慧教育基金","并购基金","ZHJY202004","智慧并购管理公司","农业银行","有序运作","成熟期","91350500MA23456783","有限合伙企业","赵刚","泉州市丰泽区田安北路 20 号","4 年","1.5 年","2.5 年","20200404","20200604","20211004","20240404","","6500","5000","950","0.2","1.45","18%","23%","8000","6500","12","4","1400","600"
"新兴能源发展基金","新兴能源基金","发展基金","XXNY201905","新兴发展资本公司","交通银行","活跃运作","成长期","91350600MA12345674","有限合伙企业","孙丽","漳州市芗城区南昌路 5 号","8 年","3.5 年","4.5 年","20190505","20190705","20221205","20270505","","4800","3800","700","0.19","1.38","13%","19%","5800","4800","9","2","900","380"
"前沿制造平衡基金","前沿制造基金","平衡基金","QYZZ201806","前沿平衡资产管理公司","中信银行","高效运作","中后期","91350700MA07891235","有限合伙企业","周敏","南平市延平区八一路 25 号","6 年","2.5 年","3.5 年","20180606","20180806","20210106","20240606","","4200","3400","600","0.17","1.28","11%","17%","5200","4200","7","1","780","290"
"文创产业投资基金","文创产业基金","产业基金","WC201707","文创投资公司","民生银行","平稳运作","扩张期","91350800MA65678916","有限合伙企业","吴涛","龙岩市新罗区龙腾路 10 号","7 年","3 年","4 年","20170707","20170907","20200707","20240707","","3800","3000","480","0.16","1.22","10%","16%","4800","3800","6","1","650","230"
"消费升级创业基金","消费创业基金","创业基金","XF201608","消费创业资本公司","浦发银行","健康运作","早期","91350900MA45678907","有限合伙企业","郑芳","宁德市蕉城区蕉城南路 8 号","5 年","2 年","3 年","20160808","20161008","20180808","20210808","","3000","2400","400","0.16","1.15","12%","17%","3600","2800","5","1","550","200"
"互联网金融发展基金","互金发展基金","发展基金","HJ201509","互金发展管理公司","中国银行","成熟运作","成长期","91350400MA34567898","有限合伙企业","陈峰","三明市梅列区东新五路 6 号","8 年","3 年","5 年","20150909","20151109","20180909","20230909","","4000","3200","550","0.18","1.3","11%","16%","5000","4000","7","2","700","260"
"智能制造成长投资基金","智造成长基金","成长型基金","ZZCZ202310","智造投资管理公司","工商银行","正常运作","成长前期","91350100MA56789136","有限合伙企业","王力","福州市台江区国货路 12 号","5 年","2 年","3 年","20230201","20230401","20250201","20280201","","3200","2600","420","0.17","1.22","12%","18%","4000","3200","8","2","680","250"
