"项目名称","项目注册地","企业最新轮次","最新融资时间","最新轮融资金额","我方最新持股比例","投时企业投前估值","投时企业投后估值","企业最新投后估值","累计签约金额（人民币）","累计交割金额（人民币）","已实现收益","在持账面价值_1","项目投资公允价值_1","项目整体增值_1","在持账面增值_1","MOC_1","Gross IRR_1","我方参与轮次","企业状态","细分行业分类","项目注册地","业务进展"
"智能科技项目","北京","A轮","2023/05","5000000","10%","40000000","45000000","60000000","8000000","6000000","2000000","1000000","1500000","5000000","500000","1.5","20%","天使轮","运营中","互联网","北京","产品研发中"
"医疗创新项目","上海","B轮","2023/07","8000000","15%","60000000","68000000","90000000","12000000","9000000","3000000","1800000","2500000","7000000","700000","1.38","25%","A轮","扩张中","医疗健康","上海","市场推广"
"环保能源项目","深圳","C轮","2023/09","12000000","20%","90000000","102000000","150000000","18000000","15000000","5000000","3000000","4000000","10000000","1000000","1.33","30%","B轮","稳定发展","新能源","深圳","项目拓展"
"电商平台项目","广州","A轮","2023/06","4000000","8%","30000000","34000000","50000000","6000000","4000000","1500000","800000","1200000","400000","1.5","18%","天使轮","成长中","电子商务","广州","用户增长"
"金融科技项目","杭州","B轮","2023/08","7000000","12%","50000000","57000000","85000000","10000000","8000000","2500000","1500000","2800000","1300000","1.87","22%","A轮","成熟运营","金融服务","杭州","业务升级"
"教育服务项目","成都","C轮","2023/10","10000000","18%","70000000","80000000","120000000","15000000","12000000","4000000","2500000","4000000","1500000","1.6","28%","B轮","快速发展","在线教育","成都","课程优化"
"文化创意项目","南京","A轮","2023/04","3000000","5%","20000000","23000000","35000000","4000000","3000000","1000000","600000","1200000","600000","1.3","15%","天使轮","起步阶段","影视娱乐","南京","创意策划"
"智能物流项目","重庆","B轮","2023/07","6000000","10%","40000000","46000000","70000000","8000000","6000000","2000000","1000000","2400000","1400000","1.4","20%","A轮","稳定运行","物流运输","重庆","服务拓展"
"生物科技项目","武汉","C轮","2023/09","9000000","15%","60000000","69000000","100000000","12000000","9000000","3000000","1800000","3100000","1300000","1.44","25%","B轮","研发突破","生物医药","武汉","产品试验"
"农业创新项目","西安","A轮","2023/05","4000000","7%","30000000","32800000","48000000","6000000","4000000","1800000","800000","1800000","800000","1.43","17%","天使轮","发展期","生态农业","西安","市场开拓"
"互联网服务项目","长沙","B轮","2023/08","7000000","13%","50000000","56500000","88000000","10000000","8000000","2800000","1500000","3200000","1700000","1.73","23%","A轮","上升期","互联网应用","长沙","技术改进"
"餐饮连锁项目","郑州","C轮","2023/10","11000000","17%","70000000","81900000","130000000","15000000","12000000","4000000","2500000","4800000","2300000","1.92","28%","B轮","扩张阶段","餐饮美食","郑州","门店增加"
"软件研发项目","济南","A轮","2023/04","3000000","6%","20000000","21800000","32000000","5000000","3000000","1200000","600000","1000000","600000","1.48","16%","天使轮","研发中","软件开发","济南","产品测试"
"新能源汽车项目","福州","B轮","2023/07","8000000","12%","50000000","56000000","95000000","10000000","8000000","3000000","1500000","3900000","2400000","1.6","22%","A轮","生产阶段","汽车制造","福州","产量提升"
"养老服务项目","合肥","C轮","2023/09","10000000","15%","60000000","69000000","110000000","13000000","10000000","4000000","2000000","4100000","2100000","1.55","25%","B轮","服务优化","养老保健","合肥","服务升级"
"体育产业项目","南昌","A轮","2023/05","3000000","5%","20000000","21500000","30000000","4000000","3000000","1000000","500000","8500000","500000","1.43","15%","天使轮","发展初期","体育赛事","南昌","赛事筹备"
"环保材料项目","沈阳","B轮","2023/08","6000000","10%","40000000","44000000","75000000","8000000","6000000","2000000","1000000","3100000","2000000","1.7","20%","A轮","推广阶段","新型材料","沈阳","市场推广"
"跨境电商项目","长春","C轮","2023/10","9000000","13%","60000000","67800000","105000000","12000000","9000000","3000000","1500000","3720000","2520000","1.55","23%","B轮","增长期","国际贸易","长春","海外拓展"
"智能穿戴项目","哈尔滨","A轮","2023/04","2000000","3%","15000000","15900000","25000000","3000000","2000000","800000","300000","9100000","300000","1.57","13%","天使轮","研发期","电子设备","哈尔滨","产品研发"
"医疗服务项目","石家庄","B轮","2023/07","5000000","8%","35000000","38800000","60000000","7000000","5000000","2000000","800000","21200000","1200000","1.55","18%","A轮","扩张期","医疗健康","石家庄","服务网点增加" 
