"TVPI","Gross IRR","Net IRR","DPI"
"1.8","18%","15%","0.8"
"2.2","20%","17%","1.2"
"1.6","15%","12%","0.6"
"2.5","22%","19%","1.5"
"1.9","17%","14%","0.9"
"2.8","25%","21%","1.8"
"1.5","13%","10%","0.5"
"2.1","19%","16%","1.1"
"1.7","16%","13%","0.7"
"2.3","21%","18%","1.3"
"1.4","12%","9%","0.4"
"2.6","23%","20%","1.6"
"1.2","10%","7%","0.2"
"2.9","26%","23%","1.9"
"1.1","9%","6%","0.1"
"2.4","20%","17%","1.4"
"1.0","8%","5%","0.0"
"2.7","24%","21%","1.7"
"0.9","7%","4%","0.9"
"2.0","18%","15%","1.0"
"0.8","6%","3%","0.8"
"3.0","27%","24%","2.0"
"0.7","5%","2%","0.7"
"1.3","11%","8%","0.3" 
