"投资成本","剩余投资成本","剩余成本的公允价值","已退出收入（含税、含分红）","已退出%","已退出投资成本","预计退出收入","已退出部分CoC","预计未退出部分CoC","预计整体CoC","备注"
"500000","200000","250000","150000","30%","150000","200000","20%","18%","19%",""
"600000","250000","300000","180000","30%","180000","220000","25%","22%","23%",""
"450000","180000","220000","135000","30%","135000","150000","20%","15%","17%",""
"700000","300000","350000","210000","30%","210000","250000","23%","20%","21%",""
"550000","220000","270000","165000","30%","165000","180000","21%","16%","18%",""
"800000","350000","400000","240000","30%","240000","280000","25%","23%","24%",""
"400000","150000","180000","120000","30%","120000","130000","22%","14%","16%",""
"650000","280000","320000","195000","30%","195000","210000","24%","18%","20%",""
"500000","200000","240000","150000","30%","150000","160000","20%","15%","17%",""
"750000","320000","380000","225000","30%","225000","260000","23%","21%","22%",""
"480000","190000","210000","144000","30%","144000","150000","20%","13%","15%",""
"600000","240000","280000","180000","30%","180000","200000","23%","17%","19%",""
"520000","210000","250000","156000","30%","156000","170000","22%","16%","18%",""
"700000","280000","330000","210000","30%","210000","240000","24%","20%","22%",""
"460000","180000","200000","138000","30%","138000","140000","21%","12%","14%",""
"620000","230000","270000","186000","30%","186000","190000","23%","15%","17%",""
"560000","200000","230000","168000","30%","168000","180000","20%","14%","16%",""
"780000","300000","360000","234000","30%","234000","250000","25%","21%","23%",""
"440000","170000","190000","132000","30%","132000","140000","20%","11%","13%",""
"580000","220000","250000","174000","30%","174000","180000","21%","13%","15%",""
"660000","260000","300000","198000","30%","198000","210000","24%","18%","20%",""
"540000","200000","220000","162000","30%","162000","170000","20%","12%","14%",""
"720000","290000","340000","216000","30%","216000","230000","23%","19%","21%",""
"420000","160000","180000","126000","30%","126000","130000","19%","10%","12%",""
"640000","250000","290000","192000","30%","192000","200000","22%","15%","17%",""
"500000","190000","210000","150000","30%","150000","160000","20%","12%","14%",""
"760000","310000","360000","228000","30%","228000","240000","24%","20%","22%",""
"400000","150000","170000","120000","30%","120000","130000","18%","9%","11%",""
