项目名称,统计年度,项目出资(-),计划项目出资(-),项目退出(+),项目分红(+),项目成本(-),项目退出（本金）(+),项目退出（收益）(+),项目分红(+)_1,项目出资(-)_1,项目收益（权益法）(+),项目收益（公允价值+退出）(+),项目分红(+)_2
同花顺,2020,500000,600000,800000,50000,300000,400000,400000,30000,450000,120000,950000,25000
紫米电子,2020,450000,550000,750000,45000,280000,350000,400000,28000,400000,110000,900000,22000
中远海物流,2021,650000,750000,900000,60000,350000,450000,450000,40000,550000,150000,1100000,30000
东航物流,2021,580000,680000,850000,55000,320000,400000,450000,35000,500000,135000,1050000,28000
中航信移动科技,2022,720000,820000,1000000,70000,400000,500000,500000,50000,600000,180000,1200000,35000
金石利璟,2022,680000,780000,950000,65000,380000,450000,500000,45000,550000,165000,1150000,32000
申宏投管,2020,550000,650000,850000,52000,330000,420000,430000,32000,480000,125000,1000000,26000
宇航一期,2020,480000,580000,780000,48000,290000,350000,430000,29000,430000,115000,950000,24000
空地互联,2021,600000,700000,920000,58000,340000,460000,460000,38000,520000,140000,1120000,29000
海南国碳,2021,530000,630000,830000,53000,310000,400000,430000,33000,480000,130000,1030000,27000
信联科技,2022,750000,850000,1050000,72000,420000,520000,530000,52000,620000,190000,1250000,36000
吉祥航空,2022,700000,800000,980000,68000,390000,480000,500000,48000,580000,175000,1180000,33000
华模科技,2020,580000,680000,880000,55000,350000,430000,450000,35000,500000,130000,1050000,28000
航旅纵横,2020,460000,560000,760000,46000,280000,340000,420000,28000,420000,110000,960000,23000
哈尔滨玻璃钢,2021,630000,730000,950000,60000,360000,450000,500000,40000,550000,145000,1150000,27000
壁仞科技,2021,560000,660000,860000,56000,330000,400000,460000,36000,480000,125000,1060000,25000
海南国碳,2022,780000,880000,1080000,75000,430000,530000,550000,55000,630000,200000,1280000,38000
信联科技,2022,730000,830000,990000,70000,400000,480000,510000,40000,580000,180000,1190000,34000
吉祥航空,2020,520000,620000,820000,50000,320000,400000,420000,30000,460000,120000,1020000,25000
中远海物流,2020,440000,540000,740000,44000,270000,320000,420000,27000,400000,105000,940000,22000
东航物流,2021,670000,770000,970000,65000,370000,470000,500000,45000,570000,160000,1170000,31000
中航信移动科技,2021,550000,650000,850000,55000,310000,400000,450000,35000,480000,130000,1050000,28000
海南国碳,2022,800000,900000,1100000,78000,450000,550000,550000,58000,650000,210000,1300000,39000
中远海物流,2022,750000,850000,1020000,72000,420000,500000,520000,42000,550000,190000,1220000,36000
东航物流,2020,560000,660000,860000,53000,340000,420000,440000,33000,470000,128000,1060000,27000
中航信移动科技,2020,470000,570000,770000,47000,280000,330000,440000,28000,420000,113000,970000,23000
金石利璟,2021,620000,720000,920000,60000,350000,450000,470000,40000,500000,145000,1120000,28000
申宏投管,2021,540000,640000,840000,54000,320000,400000,440000,34000,460000,125000,1040000,26000
吉祥航空,2022,770000,870000,1070000,75000,440000,530000,540000,55000,600000,200000,1270000,37000
华模科技,2022,700000,800000,960000,70000,400000,480000,480000,40000,520000,180000,1160000,32000
