项目简称,所属基金,常见核心条款,有/无,具体条款内容,后轮调整（如有）,后轮+,投后跟踪事项（写明历次）,跟踪完成情况
240229测试项目,丰新三十号,优先清算权,有,在清算时，投资人有权优先获得本金和一定比例的收益,无,无,定期财务报告审查，重大决策参与,已完成
餐饮连锁项目,宏丰二十号,反稀释条款,有,后轮融资估值低于前轮时，前轮投资人的股权比例需调整,有,增加了特定条件下的补偿机制,业绩对赌跟踪，管理层变动关注,部分完成
电商平台项目,宏瑞十三号,竞业禁止,有,创始人及核心团队在一定期限内不得从事竞争业务,无,无,业务拓展情况监测，市场份额变化跟踪,已完成
合肥御微-B轮,宏新二十七号,回购条款,有,未达到约定业绩时，创始人需回购投资人股权,有,调整了回购触发条件,资金使用情况审计，知识产权保护跟踪,部分完成
互联网服务项目,宏远六号,业绩对赌,有,承诺在一定期限内达到特定的业绩指标,无,无,新产品研发进度跟踪，销售渠道拓展监测,已完成
环保材料项目,辉丰十九号,董事会席位,有,投资人有权委派董事参与公司决策,无,无,公司治理结构评估，战略规划执行跟踪,已完成
环保能源项目,辉宏十二号,保密条款,有,各方对项目信息负有保密义务,无,无,竞争态势分析，行业政策影响评估,已完成
教育服务项目,辉腾五号,股权转让限制,有,未经投资人同意，创始人不得转让股权,有,增加了转让的审批流程,核心人员稳定性跟踪，技术研发成果评估,部分完成
金融科技项目,嘉兴临贤,知情权,有,投资人有权了解公司经营财务状况,无,无,财务报表分析，市场口碑调查,已完成
跨境电商项目,金丰二十一号,领售权,有,特定条件下，投资人有权强制其他股东出售股权,无,无,行业竞争对手动态跟踪，供应链稳定性监测,已完成
南通路桥工程有限公司,金辉十四号,估值调整,有,根据业绩表现调整公司估值,有,优化了调整的计算方式,营销活动效果跟踪，客户满意度调查,部分完成
农业创新项目,金新二十八号,共同出售权,有,创始人出售股权时，投资人有权按比例出售,无,无,品牌建设进展跟踪，渠道合作伙伴变动关注,已完成
软件研发项目,明辉四号,一票否决权,有,投资人对重大事项有否决权,无,无,重大合同签订跟踪，技术升级计划评估,已完成
生物科技项目,明盛十一号,拖售权,有,投资人有权要求其他股东一起出售股权,有,调整了行使的条件,人力资源状况跟踪，企业文化建设评估,部分完成
体育产业项目,南通海晟闲庭,排他性条款,有,一定期限内公司不得与其他投资方接触,无,无,市场推广策略跟踪，合作伙伴关系评估,已完成
文化创意项目,瑞新二十二号,强制分红,有,达到一定盈利水平时必须分红,有,修改了分红的比例,成本控制措施跟踪，盈利模式优化评估,部分完成
新能源汽车项目,瑞新二十九号,股权锁定,有,创始人股权在一定期限内锁定,无,无,新产品上市进度跟踪，客户投诉处理情况评估,已完成
养老服务项目,天弘基金,对赌回购,有,未完成对赌目标需回购股权,有,增加了回购的保障措施,营销策略执行跟踪，售后服务质量评估,部分完成
医疗创新项目,永盛三号,棘轮条款,有,后轮融资估值降低时调整前轮投资人股权比例,无,无,技术研发投入跟踪，人才招聘计划评估,已完成
医疗服务项目,梓川其他基金,最优惠待遇,有,保证投资人获得不低于其他股东的待遇,无,无,行业标准遵循情况跟踪，合规风险评估,已完成
智能穿戴项目,丰新三十号,优先购买权,有,其他股东出售股权时投资人有优先购买权,无,无,战略合作伙伴引入跟踪，危机公关处理评估,已完成
智能科技项目,宏丰二十号,竞业限制补偿,有,对受限人员给予一定补偿,有,提高了补偿标准,品牌推广效果跟踪，公共关系维护评估,部分完成
智能物流项目,宏瑞十三号,保密期限延长,有,延长保密义务的期限,无,无,市场竞争格局跟踪，行业趋势分析,已完成
240230测试项目,宏新二十七号,业绩补偿,有,未达到业绩承诺给予投资人补偿,有,调整了补偿方式,用户增长策略跟踪，产品迭代计划评估,部分完成
餐饮连锁项目,宏远六号,估值上限,有,设定公司估值的上限,无,无,市场份额变化跟踪，销售渠道拓展评估,已完成
电商平台项目,辉丰十九号,股权成熟,有,创始人股权按时间或业绩逐步成熟,无,无,团队建设情况跟踪，技术创新能力评估,已完成
合肥御微-B轮,辉宏十二号,知识产权归属,有,明确公司知识产权的归属,无,无,技术研发成果跟踪，专利申请情况评估,已完成
互联网服务项目,辉腾五号,关联交易限制,有,对关联交易进行严格限制,无,无,供应商管理跟踪，经销商合作评估,已完成
环保材料项目,嘉兴临贤,创始人股权质押,有,创始人股权质押需经投资人同意,无,无,资金链风险跟踪，财务预警指标评估,部分完成
环保能源项目,金丰二十一号,利润分配顺序,有,规定利润分配的先后顺序,无,无,财务管理规范跟踪，税务合规情况评估,已完成
,,,,,,,,
