"已出资金额","已退出本金","未退出本金","未退出部分的公允价值","目前股比","已过会未出资金额"
"5000000","2000000","1500000","2500000","10%","300000"
"6000000","2500000","1800000","3000000","12%","400000"
"4500000","1800000","1200000","2000000","8%","250000"
"7000000","3000000","2000000","3500000","15%","500000"
"5500000","2200000","1600000","2800000","10%","350000"
"8000000","3500000","2500000","4000000","18%","600000"
"4000000","1500000","1000000","1800000","7%","200000"
"6500000","2800000","2000000","3200000","13%","450000"
"5000000","2000000","1300000","2200000","9%","300000"
"7500000","3200000","2200000","3800000","16%","550000"
"4800000","1900000","1100000","2000000","8%","280000"
"6000000","2400000","1800000","3000000","12%","400000"
"5200000","2100000","1400000","2400000","10%","320000"
"7000000","2800000","2000000","3800000","15%","500000"
"4600000","1800000","1000000","1900000","7%","250000"
"6200000","2300000","1700000","2800000","11%","420000"
"5600000","2000000","1500000","2600000","9%","360000"
"7800000","3000000","2500000","4500000","18%","650000"
"4400000","1700000","900000","1800000","6%","220000"
"5800000","2200000","1600000","2800000","10%","380000"
"6600000","2600000","2000000","3500000","13%","460000"
"5400000","2000000","1200000","2300000","9%","340000"
"7200000","2900000","2200000","4000000","16%","520000"
"4200000","1600000","800000","1800000","5%","200000"
"6400000","2500000","1900000","3300000","12%","440000"
"5000000","1900000","1000000","2000000","8%","280000"
"7600000","3100000","2400000","4300000","15%","560000"
"4000000","1500000","700000","1800000","5%","180000"
