uuid,基金名称,投资项目名称,项目注册地,投资行业,投资方式,持股比例,投资日期,投资认缴资本总额,已投资总额,是否退出,退出日期,退出方式,收益亏损情况,
,上海上实智行股权投资合伙企业（有限合伙）,云舟生物科技（上海）股份有限公司,上海高新技术产业开发区科学城掬泉路3号上海国际企业孵化器(D区)D301-D309号房,生物医药,扩股,1.16%,2022-01-29,1200,1200,,,,,
,上海上实智行股权投资合伙企业（有限合伙）,云舟生物科技（上海）股份有限公司,上海高新技术产业开发区科学城掬泉路3号上海国际企业孵化器(D区)D301-D309号房,生物医药,增资,1.16%,2021-08-30,1679,1679,,,,,
,上海上实智行股权投资合伙企业（有限合伙）,上海广合科技股份有限公司,上海保税区保盈南路22号,电子设备,部分增资扩股，部分受让老股,0.77%,2021-01-26,1000,1000,否,,,,
,上海上实智行股权投资合伙企业（有限合伙）,上海芯德通信科技股份有限公司,上海高新技术产业开发区科学城科学大道162号B2栋601,通信设备,部分增资扩股，部分受让老股,1.19%,2021-01-26,1000,1000,否,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
