项目简称,会议类型,会议时间,参会人员姓名,三会议案,股东会/董事会/监事会核心内容,项目重大事项事由说明
240230测试项目,股东会,2018-08-19,张三、李四、王五,讨论利润分配,审议年度利润分配方案,关于公司利润分配的决策
餐饮连锁项目,董事会,2019-01-24,赵六、孙七、周八,审议投资计划,制定新的投资策略,讨论新的投资项目
餐饮连锁项目,监事会,2019-07-01,吴九、郑十、王一,监督财务报告,审查公司财务状况,对财务报告的监督审核
电商平台项目,股东会,2019-12-06,李二、张三、赵四,变更公司章程,修订公司运营规则,公司章程的重要变更
电商平台项目,董事会,2020-05-12,王五、孙六、周七,人事任免,决定管理层的调整,公司管理层的变动决策
合肥御微-B轮,监事会,2020-10-17,吴八、郑九、李十,检查内部制度,评估公司内部管理制度,内部制度的执行与检查
合肥御微-B轮,股东会,2021-03-24,赵一、孙二、周三,融资方案,商讨公司融资事宜,公司融资计划的研讨
互联网服务项目,董事会,2021-08-29,周四、吴五、郑六,业务拓展计划,规划新的业务领域,业务拓展方向的确定
互联网服务项目,监事会,2021-08-29,李七、赵八、孙九,风险评估报告,审查公司面临的风险,公司风险状况的评估
环保材料项目,股东会,2022-02-03,吴十、郑一、李二,重大资产处置,决定重要资产的处置,关于重大资产的处置决策
环保材料项目,董事会,2022-02-03,赵三、孙四、周五,战略调整,调整公司长期发展战略,公司战略方向的变更
环保能源项目,监事会,2022-07-11,周六、吴七、郑八,合规监督,监督公司运营的合规性,对公司合规情况的监督
环保能源项目,股东会,2022-07-11,李九、赵十、孙一,股东权益变动,讨论股东权益的调整,股东权益相关事项的处理
教育服务项目,董事会,2022-12-16,周二、周三、周四,年度预算,审批公司年度预算,年度预算的制定与审批
教育服务项目,监事会,2023-05-23,吴四、郑五、李六,审计报告审查,审查公司审计报告,对审计报告的审核评估
金融科技项目,股东会,2023-10-28,赵七、孙八、周九,关联交易,审议关联交易事项,关联交易的决策与监督
跨境电商项目,董事会,2024-10-23,吴十、郑一、李二,技术研发投入,确定技术研发的资金安排,技术研发投入的规划
南通路桥工程有限公司,监事会,2024-10-24,赵三、孙四、周五,监督执行情况,检查决议的执行状况,对董事会决议执行的监督
农业创新项目,股东会,2024-10-25,周六、吴七、郑八,合并分立,讨论公司合并分立事宜,公司重大结构调整的决策
软件研发项目,董事会,2024-10-25,李九、赵十、孙一,市场推广策略,制定市场推广方案,市场推广计划的确定
生物科技项目,监事会,2024-10-26,周二、周三、周四,成本控制审查,审查公司成本控制措施,成本控制工作的监督检查
盛红晔,股东会,2024-10-26,吴四、郑五、李六,利润增长计划,制定利润增长目标,公司利润增长的规划
体育产业项目,董事会,2024-10-27,赵七、孙八、周九,品牌建设,规划品牌发展战略,品牌建设工作的部署
文化创意项目,监事会,2024-10-28,吴十、郑一、李二,风险管理审查,评估公司风险管理措施,风险管理工作的审核
新能源汽车项目,股东会,2024-10-29,赵三、孙四、周五,股权结构调整,讨论股权结构的变动,股权结构优化的决策
养老服务项目,董事会,2018-08-20,周六、吴七、郑八,人才引进,确定人才引进计划,公司人才战略的规划
医疗创新项目,监事会,2019-01-25,李九、赵十、孙一,内部控制评估,评估公司内部控制体系,内部控制有效性的审查
医疗服务项目,股东会,2019-07-02,周二、周三、周四,项目投资决策,决定重大项目的投资,关于重要项目投资的讨论
智能穿戴项目,董事会,2019-12-07,吴四、郑五、李六,合作协议审议,审议重要合作协议,合作协议的审查与决策
智能科技项目,监事会,2020-05-13,赵七、孙八、周九,监督整改情况,检查问题整改落实情况,对问题整改的监督跟踪 
,,,,,,
