"公司名称","截止日期","上市状态","股票代码","上市板块","发行日期","发行价"
"瑞丰科技","20230701","已上市","RF001","主板","20200510","25"
"华耀电子","20230815","已上市","HY002","创业板","20210625","18"
"盛宏制造","20230930","已上市","SH003","中小板","20220318","16"
"明辉创新","20231020","已上市","MH004","科创板","20220905","22"
"永盛实业","20231125","已上市","YS005","主板","20201212","28"
"辉腾股份","20231210","已上市","HT006","创业板","20210808","20"
"宏远集团","20240115","已上市","HY007","中小板","20220715","15"
"金瑞信息","20240228","已上市","JR008","科创板","20221120","23"
"瑞昌能源","20240320","已上市","RC009","主板","20200902","30"
"丰泽医疗","20240410","已上市","FZ010","创业板","20210418","19"
"新耀智能","20240515","已上市","XY011","中小板","20220222","17"
"华新传媒","20240605","已上市","HX012","科创板","20220805","21"
"联盛科技","20240720","已上市","LS013","主板","20201110","26"
"卓悦制造","20240810","已上市","ZY014","创业板","20210705","18"
"创辉电子","20240905","已上市","CH015","中小板","20220615","16"
