"项目总收入","累计退出本金","累计净收益金额","累计投资金额","剩余未退本金","投资时间","退出合计金额","IRR"
"500000","200000","100000","350000","150000","2020-01-05","250000","0.15"
"800000","300000","180000","500000","200000","2021-03-12","380000","0.18"
"650000","250000","130000","420000","170000","2022-07-18","320000","0.16"
"720000","280000","150000","480000","200000","2019-11-25","330000","0.17"
"480000","180000","90000","300000","120000","2020-09-03","220000","0.12"
"900000","350000","200000","600000","250000","2021-05-10","400000","0.20"
"550000","220000","110000","380000","160000","2022-02-16","270000","0.14"
"780000","320000","160000","550000","230000","2019-12-28","380000","0.18"
"600000","200000","120000","400000","200000","2020-06-08","260000","0.15"
"850000","300000","180000","580000","280000","2021-08-22","350000","0.19"
"420000","160000","80000","280000","120000","2022-04-05","200000","0.11"
"700000","260000","140000","450000","190000","2020-10-18","290000","0.16"
"580000","200000","100000","360000","160000","2021-07-03","240000","0.13"
"820000","330000","170000","560000","230000","2019-08-15","380000","0.18"
"630000","240000","120000","420000","180000","2022-01-20","280000","0.15"
"750000","280000","150000","500000","220000","2020-03-28","320000","0.17"
"520000","190000","90000","320000","130000","2021-09-12","230000","0.12"
"880000","340000","190000","600000","260000","2022-06-06","390000","0.19"
"450000","170000","70000","260000","90000","2020-12-05","200000","0.10"
"680000","250000","130000","430000","180000","2021-04-18","280000","0.15"
"560000","210000","100000","340000","130000","2022-08-10","250000","0.13"
"730000","270000","140000","480000","210000","2020-07-22","310000","0.16"
"480000","180000","80000","280000","100000","2021-11-03","220000","0.11"
"660000","230000","120000","400000","170000","2022-03-15","270000","0.14"
"500000","190000","90000","310000","120000","2020-05-08","220000","0.12" 
