"年度","子公司","营业收入","净利润","负债","绩效打分","年度评分","所获荣誉"
"2023","上实科技发展有限公司","500000","80000","120000","85","90","创新企业奖"
"2022","上实贸易服务有限公司","650000","95000","150000","88","92","优质服务奖"
"2021","上实金融投资有限公司","480000","70000","100000","80","88","杰出投资奖"
"2020","上实文化传媒有限公司","550000","85000","110000","82","86","文化传播优秀奖"
"2019","上实房地产开发有限公司","720000","105000","180000","90","95","优秀地产开发奖"
"2023","上实医疗健康有限公司","600000","90000","130000","86","91","健康产业贡献奖"
"2022","上实物流运输有限公司","580000","88000","140000","84","89","高效物流奖"
"2021","上实教育培训有限公司","450000","68000","95000","78","83","教育创新奖"
"2020","上实电子信息有限公司","620000","92000","125000","83","87","信息科技进步奖"
"2019","上实智能制造有限公司","750000","110000","190000","92","96","智能制造先锋奖"
"2023","上实环保能源有限公司","520000","75000","105000","81","85","绿色能源奖"
"2022","上实餐饮管理有限公司","680000","100000","160000","87","92","美食服务优秀奖"
"2021","上实软件科技有限公司","420000","65000","88000","75","80","软件创新奖"
"2020","上实农业发展有限公司","560000","82000","115000","79","84","农业创新示范奖"
"2019","上实互联网科技有限公司","780000","125000","200000","95","98","互联网卓越奖"
"2023","上实装饰工程有限公司","480000","70000","98000","78","82","优质装饰奖"
"2022","上实广告传媒有限公司","630000","98000","145000","86","90","创意广告奖"
"2021","上实人力资源有限公司","400000","62000","82000","72","78","人力服务优秀奖"
"2020","上实旅游服务有限公司","500000","78000","102000","76","80","旅游服务优质奖"
"2019","上实机械制造有限公司","700000","108000","175000","90","94","机械制造优秀奖"
"2023","上实物业管理有限公司","550000","85000","118000","83","87","优秀物业奖"
"2022","上实建筑工程有限公司","660000","102000","155000","89","93","建筑工程质量奖"
"2021","上实咨询服务有限公司","430000","68000","90000","77","81","咨询服务优秀奖"
"2020","上实服装贸易有限公司","520000","76000","108000","78","83","服装贸易创新奖"
"2019","上实影视制作有限公司","680000","100000","165000","88","92","影视制作优秀奖"
