季度,投前项目总数量,项目计划投资总额,上实集团系内企业计划投资总额,新增投资额,投资额完成预算比例%,持股比例,预决算年初已签订投资项目,预决算年内新签投资项目或追加投资项目,上年累计已投资金额,其中：上年预决算新增投资额,最新年度预算
2023Q1,15,150000,50000,10000,70,15,5,3,30000,8000,40000
2023Q1,18,180000,60000,12000,65,18,6,4,35000,9000,45000
2023Q1,12,120000,40000,8000,75,12,4,2,25000,7000,35000
2023Q2,14,140000,45000,9000,72,14,5,3,28000,8500,38000
2023Q2,16,160000,55000,11000,68,16,6,4,32000,9500,42000
2023Q2,13,130000,42000,8500,73,13,4,3,26000,7500,36000
2023Q3,17,170000,58000,11500,66,17,7,4,33000,10000,43000
2023Q3,19,190000,65000,13000,62,19,8,5,38000,11000,48000
2023Q3,11,110000,38000,7500,78,11,3,2,22000,6500,32000
2023Q4,16,160000,54000,10500,70,16,6,4,30000,9000,40000
2023Q4,18,180000,62000,12500,67,18,7,5,35000,10500,45000
2023Q4,14,140000,48000,9500,71,14,5,3,28000,8500,38000
2024Q1,15,150000,52000,10200,69,15,5,3,31000,8800,41000
2024Q1,17,170000,57000,11300,64,17,6,4,34000,9800,44000
2024Q1,13,130000,43000,8300,74,13,4,2,25500,7300,34000
2024Q2,16,160000,56000,10800,68,16,6,4,32500,9600,43000
2024Q2,14,140000,46000,9200,70,14,5,3,27500,8200,37000
2024Q2,18,180000,63000,12300,65,18,7,5,36000,10300,46000
2024Q3,19,190000,66000,13200,61,19,8,5,39000,11200,49000
2024Q3,17,170000,59000,11700,64,17,7,4,34500,10100,45000
2024Q3,15,150000,53000,10400,67,15,6,3,31500,9200,42000
2024Q4,16,160000,55000,10600,69,16,6,4,32000,9400,43000
2024Q4,18,180000,64000,12600,66,18,7,5,36500,10600,47000
2024Q4,14,140000,47000,9400,70,14,5,3,28500,8400,38000
2024Q4,17,170000,60000,11800,63,17,7,4,35000,10200,46000
