其中：自有资金,其中：金融机构贷款,其中：政府资金,其中：其他资金,2024年预决算_1,项目计划投资总额,上实集团系内企业计划投资总额,持股比例,2024年累计已投资金额,其中：2024年预决算新增投资额,预决算年初已签订投资项目,预决算年内新签投资项目或追加投资项目,2024年预决算_2,2024年预算_1,新增投资额,投资额完成预算比例%,2024年预算_2
3000,2000,1000,500,5000,20000,8000,15%,7000,2000,3,2,4500,6000,1500,75%,5500
4000,2500,1200,800,6500,25000,10000,18%,9000,2500,4,3,6000,7500,2000,80%,6800
2500,1800,800,300,4000,18000,7000,12%,6000,1800,3,2,3600,5500,1300,72%,4800
3500,2200,1100,600,5500,22000,9000,16%,8000,2200,4,3,5000,6800,1700,77%,6000
4200,2800,1300,900,7000,28000,12000,20%,10000,2800,5,4,6500,8500,2300,82%,7500
2800,2000,900,400,4500,20000,8500,14%,7500,2000,4,3,4200,6000,1500,75%,5300
3800,2400,1200,700,6200,24000,10500,17%,9500,2400,4,3,5800,7200,1900,79%,6500
4500,3000,1400,1000,7500,30000,13000,22%,11000,3000,5,4,7000,9000,2500,83%,8000
2600,1900,850,350,4200,19000,8000,13%,6500,1900,3,2,3900,5800,1400,74%,5100
3600,2300,1150,650,5800,23000,9500,16%,8500,2300,4,3,5400,7000,1800,78%,6300
4300,2900,1350,950,7200,29000,12500,21%,10500,2900,5,4,6800,8800,2400,81%,7800
2900,2100,950,450,4700,21000,9000,15%,7800,2100,4,3,4400,6300,1600,76%,5600
3900,2500,1250,750,6400,25000,11000,18%,9800,2500,4,3,6000,7500,2000,80%,6800
4600,3100,1450,1050,7700,31000,13500,23%,11500,3100,5,4,7200,9300,2600,84%,8300
2700,2000,900,400,4400,20000,8200,14%,7200,2000,4,3,4100,6000,1500,75%,5400
3700,2400,1200,700,6000,24000,10200,17%,9200,2400,4,3,5600,7200,1900,79%,6400
4400,3000,1300,900,7400,28000,12200,20%,10200,3000,5,4,6900,8400,2400,82%,7600
3000,2200,1000,500,5200,22000,9200,16%,8200,2200,4,3,4800,6600,1700,77%,6000
4000,2600,1200,800,6700,26000,11200,19%,9700,2600,5,4,6200,7800,2100,81%,7000
2800,2000,900,400,4600,20000,8600,15%,7600,2000,4,3,4300,6000,1500,75%,5500
3800,2500,1200,700,6300,25000,10800,18%,9400,2500,4,3,5900,7500,2000,80%,6700
4500,3000,1400,1000,7600,30000,13200,22%,11200,3000,5,4,7100,9000,2500,83%,8200
2900,2100,950,450,4800,21000,9200,15%,7900,2100,4,3,4500,6300,1600,76%,5700
3900,2500,1250,750,6500,25000,11200,18%,9900,2500,4,3,6100,7500,2000,80%,6900
4700,3100,1450,1050,7800,31000,13800,23%,11800,3100,5,4,7300,9300,2600,84%,8500
