"基金简称","基金全称","当前阶段","组织类型","基金管理人","基金托管人","基金类型","投资方向","管理费","收益分配及亏损承担","基金会计"
"丰泽一号","丰泽稳健成长投资基金","募集期","有限合伙","丰泽资本","中信银行","股票型","新兴产业、科技领域","2%","按出资比例分配及承担","张三"
"瑞华二号","瑞华价值发现混合基金","运营期","公司制","瑞华投资","招商银行","混合型","消费升级、医疗健康","1.5%","根据约定比例分配及承担","李四"
"永盛三号","永盛创新发展基金","封闭期","契约型","永盛资产","浦发银行","债券型","优质债券、固定收益","1.2%","依照合同约定分配及承担","王五"
"明辉四号","明辉行业精选基金","清算期","有限合伙","明辉资本","工商银行","股票型","传统行业转型升级","2.5%","按协议分配及承担","赵六"
"辉腾五号","辉腾平衡配置基金","筹备期","公司制","辉腾投资","建设银行","混合型","多领域均衡配置","1.8%","根据基金规则分配及承担","孙七"
"宏远六号","宏远长期价值投资基金","存续期","契约型","宏远资产","农业银行","股票型","蓝筹股、价值投资","2.2%","按照约定方式分配及承担","周八"
"金瑞七号","金瑞稳健收益基金","扩张期","有限合伙","金瑞资本","交通银行","债券型","高信用债券、国债","1.3%","依合同分配及承担","吴九"
"瑞丰八号","瑞丰新兴产业基金","成熟期","公司制","瑞丰投资","中国银行","股票型","前沿科技、新能源","2%","按规定分配及承担","郑十"
"晟宏九号","晟宏灵活配置基金","发展期","契约型","晟宏资产","民生银行","混合型","市场热点板块","1.6%","依据协议分配及承担","王一"
"永华十号","永华成长型基金","调整期","有限合伙","永华资本","兴业银行","股票型","成长型企业","2.3%","按约定分配及承担","李二"
"明盛十一号","明盛稳健增值基金","稳定期","公司制","明盛投资","光大银行","债券型","稳定收益资产","1.4%","根据约定分配及承担","张三"
"辉宏十二号","辉宏主题投资基金","波动期","契约型","辉宏资产","华夏银行","股票型","特定主题投资","2.1%","按基金合同分配及承担","李四"
"宏瑞十三号","宏瑞量化投资基金","优化期","有限合伙","宏瑞资本","广发银行","股票型","量化策略投资","2.4%","依照约定分配及承担","王五"
"金辉十四号","金辉固定收益基金","上升期","公司制","金辉投资","平安银行","债券型","固定收益类产品","1.1%","根据协议分配及承担","赵六"
"瑞昌十五号","瑞昌混合策略基金","转型期","契约型","瑞昌资产","邮储银行","混合型","多种策略结合","1.7%","按合同分配及承担","孙七"
"丰瑞十六号","丰瑞价值成长基金","创新期","有限合伙","丰瑞资本","北京银行","股票型","优质成长股","2%","按约定方式分配及承担","周八"
"永丰十七号","永丰稳健平衡基金","探索期","公司制","永丰投资","上海银行","混合型","平衡配置资产","1.5%","根据基金规定分配及承担","吴九"
"明瑞十八号","明瑞行业轮动基金","突破期","契约型","明瑞资产","杭州银行","股票型","行业轮动投资","2.2%","按协议分配及承担","郑十"
"辉丰十九号","辉丰债券投资基金","巩固期","有限合伙","辉丰资本","宁波银行","债券型","债券投资组合","1.3%","依约定分配及承担","王一"
"宏丰二十号","宏丰指数增强基金","拓展期","公司制","宏丰投资","南京银行","股票型","指数增强策略","2%","按规定分配及承担","李二"
"金丰二十一号","金丰主题投资基金","优化期","契约型","金丰资产","苏州银行","股票型","热门主题投资","1.8%","根据约定分配及承担","张三"
"瑞新二十二号","瑞新稳健回报基金","稳定期","有限合伙","瑞新资本","天津银行","债券型","稳健回报资产","1.4%","按基金合同分配及承担","李四"
"丰新二十三号","丰新灵活配置基金","发展期","公司制","丰新投资","重庆银行","混合型","灵活资产配置","1.6%","依照约定分配及承担","王五"
"永新二十四号","永新价值投资基金","成长期","契约型","永新资产","青岛银行","股票型","价值型企业","2.1%","依据协议分配及承担","赵六"
"明新二十五号","明新收益增强基金","提升期","有限合伙","明新资本","厦门银行","债券型","收益增强策略","1.2%","按约定分配及承担","孙七"
"辉新二十六号","辉新量化精选基金","跨越期","公司制","辉新投资","大连银行","股票型","量化精选股票","2%","根据约定分配及承担","周八"
"宏新二十七号","宏新平衡优化基金","创新期","契约型","宏新资产","贵阳银行","混合型","平衡优化投资","1.5%","按照协议分配及承担","吴九"
"金新二十八号","金新固定收益增强基金","转型期","有限合伙","金新资本","郑州银行","债券型","固定收益增强组合","1.3%","依合同分配及承担","郑十"
"瑞新二十九号","瑞新成长混合基金","升级期","公司制","瑞新投资","东莞银行","混合型","成长型资产混合","1.7%","按约定方式分配及承担","王一"
"丰新三十号","丰新行业聚焦基金","突破期","契约型","丰新资产","长沙银行","股票型","特定行业聚焦投资","2%","按规定分配及承担","李二"
