"实缴规模","出资基金数量","累计分配总额","DPI"
"5000000","8","1500000","0.3"
"6000000","10","2000000","0.33"
"7000000","12","2500000","0.36"
"8000000","15","3000000","0.38"
"9000000","18","3500000","0.39"
"4000000","7","1200000","0.3"
"5500000","9","1800000","0.33"
"6500000","11","2200000","0.34"
"7500000","13","2800000","0.37"
"8500000","16","3200000","0.38"
"3500000","6","1000000","0.29"
"4500000","8","1400000","0.31"
"5500000","10","1800000","0.33"
"6500000","12","2200000","0.34"
"7500000","14","2600000","0.35"
"8500000","17","3000000","0.35"
"3000000","5","900000","0.3"
"4000000","7","1300000","0.33"
"5000000","9","1700000","0.34"
"6000000","11","2100000","0.35"
"7000000","13","2500000","0.36"
"8000000","15","2900000","0.36"
"2500000","4","700000","0.28"
"3500000","6","1100000","0.31"
"4500000","8","1500000","0.33"
"5500000","10","1900000","0.35"
"6500000","12","2300000","0.35"
"7500000","14","2700000","0.36"
"8500000","16","3100000","0.36"
