"公司简称","活跃状况","所属大类","具体推荐单位","入库日期","录入人"
"华瑞科技","活跃","IT 行业","XX 投资机构","2023/01/05","张三"
"新创电子","活跃","电子行业","YY 咨询公司","2023/02/10","李四"
"丰泽制造","不活跃","制造业","ZZ 商会","2023/03/15","王五"
"永盛贸易","活跃","贸易行业","AA 行业协会","2023/04/20","赵六"
"嘉盛化工","活跃","化工行业","BB 企业联盟","2023/05/25","孙七"
"宏远物流","活跃","物流行业","CC 物流协会","2023/06/30","周八"
"明辉建材","不活跃","建材行业","DD 建材商会","2023/07/15","吴九"
"辉腾金融","活跃","金融行业","EE 金融俱乐部","2023/08/20","郑十"
"金瑞医疗","活跃","医疗行业","FF 医疗联盟","2023/09/25","王十一"
"瑞丰机械","不活跃","机械行业","GG 机械协会","2023/10/30","李十二"
"晟通纺织","活跃","纺织行业","HH 纺织商会","2023/11/15","赵十三"
"康盛食品","活跃","食品行业","II 食品协会","2023/12/20","孙十四"
"瀚海文旅","不活跃","文旅行业","JJ 文旅联盟","2024/01/25","周十五"
"星辰教育","活跃","教育行业","KK 教育协会","2024/02/28","吴十六"
"天翔传媒","活跃","传媒行业","LL 传媒商会","2024/03/31","郑十七"
"卓越房产","不活跃","房产行业","MM 房产协会","2024/04/15","王十八"
"中辉农业","活跃","农业","NN 农业联盟","2024/05/20","李十九"
"智行汽车","活跃","汽车行业","OO 汽车商会","2024/06/25","赵二十"
"博瑞能源","不活跃","能源行业","PP 能源协会","2024/07/30","孙二一"
"丰华通讯","活跃","通讯行业","QQ 通讯商会","2024/08/15","周二二"
"盛宏装饰","活跃","装饰行业","RR 装饰协会","2024/09/20","张三"
"创辉广告","不活跃","广告行业","SS 广告商会","2024/10/25","李四"
"凯瑞物业","活跃","物业行业","TT 物业协会","2024/11/30","王五"
"冠宇科技","活跃","科技行业","UU 科技联盟","2024/12/15","赵六"
"华丰服装","不活跃","服装行业","VV 服装商会","2025/01/20","孙七"
"瀚宇软件","活跃","软件行业","WW 软件协会","2025/02/25","周八"
"瑞翔餐饮","活跃","餐饮行业","XX 餐饮联盟","2025/03/31","吴九"
"宇通运输","不活跃","运输行业","YY 运输商会","2025/04/15","郑十"
"东盛建材","活跃","建材行业","ZZ 建材联盟","2025/05/20","王十一" 
