"名称","类型","资质信息"
"诚信会计事务所","合伙制","会计师事务所执业证书、注册会计师若干"
"卓越会计事务所","有限责任公司","ISO 质量管理体系认证、行业荣誉证书"
"恒信会计事务所","合伙制","税务代理资质、财务审计资格"
"明达会计事务所","有限责任公司","高新技术企业审计资格、资产评估资格"
"智汇会计事务所","合伙制","涉密资质认定、企业清算审计资格"
"广进会计事务所","有限责任公司","行政事业单位审计资格、工程造价审计资格"
"丰泽会计事务所","合伙制","农村财务审计资格、管理咨询资质"
"瑞华会计事务所","有限责任公司","内部控制审计资格、尽职调查资质"
"金诚会计事务所","合伙制","财政支出绩效评价资格、司法会计鉴定资格"
"中汇会计事务所","有限责任公司","金融企业审计资格、企业重组审计资格"
"华瑞会计事务所","合伙制","新三板挂牌审计资格、财务尽职调查资质"
"正信会计事务所","有限责任公司","清产核资审计资格、基建项目审计资格"
"天衡会计事务所","合伙制","经济效益审计资格、外汇审计资格"
"法援天使律师事务所","合伙制","法律援助天使荣誉证书、专业法律心理辅导资质"
"律法贤达律师事务所","合伙制","贤达律师团队认证、专业法律文化传承证明"
"法韵华章律师事务所","个人所","法律韵味华章创作证明、专业法律文艺活动参与证书"
"法随心动律师事务所","合伙制","灵活法律服务认证、专业法律需求响应及时证明"
"律海明灯律师事务所","个人所","律海导航明灯认证、专业法律问题诊断精准证明"
"法情相伴律师事务所","合伙制","法律人情相伴服务证明、专业法律人文关怀体现证明"
"律道致远律师事务所","合伙制","律道长远发展规划证明、专业法律战略布局能力证明"
"法心为民律师事务所","个人所","法律真心为民服务认证、专业法律民意倾听积极证明"
"律界繁星律师事务所","合伙制","律界璀璨繁星认证、专业法律人才辈出证明"
"法意千秋律师事务所","合伙制","法律意旨千秋传承证明、专业法律历史研究成果"
