"公司简称","公司全称","工商注册资本","工商注册时间","统一社会信用代码","经营状况","核准日期","法定代表人","注册地址","经营范围"
"海翼基金","厦门海翼自有基金管理有限公司","3000 万","2019-06-18","91350200MA32Y6T32K","良好","2019-06-21","林华","厦门市湖里区枋湖北二路 891 号","基金管理、投资咨询"
"海翔基金","厦门海翔自有基金投资有限公司","2500 万","2020-03-05","91350200MA33J7X97M","稳定","2020-03-08","陈强","厦门市思明区鹭江道 98 号","项目投资、股权投资"
"海辉基金","厦门海辉自有产业基金有限公司","3500 万","2018-09-12","91350200MA3238R78Q","盈利","2018-09-15","张华","厦门市集美区杏林湾路 466 号","产业投资、并购整合"
"海融基金","厦门海融自有资本基金有限公司","2800 万","2021-01-20","91350200MA8RDB1P2A","上升","2021-01-23","李丽","厦门市海沧区海沧大道 899 号","资本运作、金融投资"
"海盛基金","厦门海盛自有创新基金有限公司","3200 万","2022-05-10","91350200MA8UX38F8R","活跃","2022-05-13","王涛","厦门市翔安区新店镇新兴街 128 号","创新投资、创业扶持"
"海丰基金","厦门海丰自有发展基金有限公司","2600 万","2017-07-25","91350200MA2YEW9B1U","优质","2017-07-28","赵刚","厦门市同安区银湖路 8 号","长期投资、价值投资"
"海宏基金","厦门海宏自有成长基金有限公司","3800 万","2016-04-18","91350200MA347K4F25","平稳","2016-04-21","孙敏","厦门市思明区莲前东路 409 号","成长型投资、企业发展"
"海兴基金","厦门海兴自有稳健基金有限公司","2900 万","2023-02-02","91350200MA8UYY8G7L","健康","2023-02-05","吴勇","厦门市集美区侨英街道兑山中路 16 号","稳健投资、风险控制"
"海卓基金","厦门海卓自有战略基金有限公司","3600 万","2015-08-05","91350200MA3485J67Q","兴盛","2015-08-08","郑明","厦门市湖里区钟宅路 67 号","战略投资、产业布局"
"海悦基金","厦门海悦自有多元基金有限公司","3300 万","2020-11-16","91350200MA5G358C8G","有序","2020-11-19","陈燕","厦门市翔安区马巷镇巷南路 88 号","多元化投资、资产配置" 
