"SPV简称","SPV全称","出资主体"
"瑞华SPV","瑞华特殊目的载体有限公司","MF母基金"
"嘉盛SPV","嘉盛特殊目的载体股份公司","太保一期母基金"
"晟通SPV","晟通特定目标载体有限责任公司","MF母基金"
"永盛SPV","永盛特别目的载体集团有限公司","阿萨德"
"明辉SPV","明辉专项目的载体股份有限公司","MF母基金"
"辉腾SPV","辉腾特殊目标载体企业有限公司","太保一期母基金"
"宏远SPV","宏远特定用途载体有限责任公司","MF母基金"
"金瑞SPV","金瑞专项目的载体集团股份公司","阿萨德"
"瑞丰SPV","瑞丰特殊用途载体有限责任公司","MF母基金"
"晟宏SPV","晟宏特别目的载体股份有限责任公司","太保一期母基金"
"永华SPV","永华特殊目标载体有限责任公司","MF母基金"
"明盛SPV","明盛专项用途载体股份有限公司","阿萨德"
"辉宏SPV","辉宏特殊目的载体集团有限责任公司","太保一期母基金"
"宏瑞SPV","宏瑞特定目的载体股份有限责任公司","MF母基金"
"金辉SPV","金辉特别目的载体有限责任公司","阿萨德"
"瑞昌SPV","瑞昌特殊用途载体集团股份有限公司","MF母基金"
"丰泽SPV","丰泽特定目标载体有限责任公司","太保一期母基金"
"永丰SPV","永丰特殊目的载体股份有限公司","MF母基金"
"明瑞SPV","明瑞专项目的载体有限责任公司","阿萨德"
"辉丰SPV","辉丰特殊目标载体集团股份有限责任公司","太保一期母基金"
"宏丰SPV","宏丰特定用途载体有限公司","MF母基金"
"金丰SPV","金丰特别目的载体股份集团公司","阿萨德"
"瑞新SPV","瑞新特殊目的载体有限责任公司","MF母基金"
"丰瑞SPV","丰瑞特定目标载体股份有限公司","太保一期母基金"
"永新SPV","永新专项用途载体集团有限责任公司","MF母基金"
"明新SPV","明新特殊目的载体股份有限责任公司","阿萨德"
"辉新SPV","辉新特定用途载体集团股份公司","太保一期母基金"
"宏新SPV","宏新特别目的载体有限责任公司","MF母基金"
"金新SPV","金新特殊目标载体股份有限公司","阿萨德" 
